@relation 'evento'
@attribute temporada { normal, junina, ferias }
@attribute semana { inicio, final, meio }
@attribute grupo { desconhecido, normal, bom }
@attribute eventos { nao, sim}
@attribute clima { nao, sim}
@attribute data_especial { nao, sim }
@attribute interessadasDummie { muito_fraco, fraco, normal, bom, muito_bom }
@attribute publico { muito_fraco, fraco, normal, bom, muito_bom }
@attribute qtdPublic numeric
@attribute mes {janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro}
@data
normal,inicio,desconhecido,nao,nao,sim,muito_bom,muito_bom,910,maio
normal,final,normal,nao,nao,nao,muito_bom,muito_bom,900,maio
normal,final,normal,nao,nao,nao,muito_bom,muito_bom,920,maio
junina,inicio,normal,nao,nao,sim,muito_bom,muito_bom,1100,junho
junina,final,desconhecido,nao,sim,nao,muito_bom,fraco,450,junho
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom,1070,julho
junina,inicio,normal,sim,nao,nao,muito_bom,bom,740,agosto
junina,final,normal,nao,nao,nao,muito_bom,muito_bom,1010,agosto
junina,final,normal,nao,nao,nao,muito_bom,muito_bom,1015,agosto
normal,inicio,desconhecido,sim,nao,sim,muito_bom,muito_bom,923,setembro
normal,inicio,normal,nao,sim,nao,muito_bom,fraco,466,setembro
normal,meio,normal,nao,nao,nao,muito_bom,bom,930,setembro
normal,inicio,normal,sim,nao,nao,muito_bom,bom,802,outubro,
normal,inicio,desconhecido,nao,nao,nao,muito_bom,bom,830,outubro
normal,meio,normal,nao,nao,nao,muito_bom,bom,844,outubro
normal,final,normal,nao,nao,nao,bom,bom,798,outubro
normal,inicio,normal,nao,sim,nao,muito_bom,fraco,457,novembro
normal,meio,normal,nao,sim,nao,normal,muito_fraco,430,novembro
normal,final,normal,sim,nao,nao,muito_bom,bom,749,novembro
ferias,inicio,normal,nao,sim,nao,muito_bom,normal,559,dezembro
ferias,inicio,normal,sim,sim,sim,fraco,fraco,432,dezembro
ferias,meio,normal,sim,sim,nao,bom,muito_fraco,337,dezembro
ferias,final,normal,sim,nao,sim,muito_bom,muito_bom,1070,dezembro
ferias,inicio,normal,nao,sim,sim,muito_bom,muito_bom,1049,janeiro
ferias,inicio,desconhecido,sim,nao,nao,normal,fraco,423,janeiro
ferias,meio,normal,nao,sim,nao,muito_bom,fraco,460,janeiro
ferias,final,normal,sim,sim,sim,muito_bom,muito_bom,1110,fevereiro
ferias,final,normal,nao,nao,nao,muito_bom,muito_bom,1089,fevereiro
normal,inicio,normal,sim,nao,nao,bom,normal,540,marco
normal,inicio,normal,nao,sim,nao,muito_bom,fraco,426,marco
normal,meio,normal,sim,nao,nao,fraco,muito_fraco,410,marco
normal,final,normal,sim,nao,nao,bom,normal,469,marco
normal,inicio,normal,nao,nao,nao,normal,normal,403,abril
normal,meio,normal,sim,nao,nao,muito_bom,normal,478,abril
normal,final,normal,nao,nao,nao,muito_bom,muito_bom,910,abril
normal,final,normal,nao,nao,nao,muito_bom,muito_bom,932,abril
normal,inicio,normal,sim,nao,nao,normal,fraco,486,maio
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,902,maio
normal,meio,desconhecido,sim,nao,nao,bom,muito_fraco,471,maio
normal,final,normal,nao,nao,nao,muito_bom,muito_bom,1036,maio
junina,inicio,normal,nao,nao,sim,muito_bom,muito_bom,1170,junho
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom,1010,junho
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom,1114,junho
junina,final,normal,nao,nao,nao,bom,bom,870,junho
junina,inicio,normal,sim,nao,nao,muito_bom,bom,850,julho
junina,inicio,desconhecido,nao,nao,nao,muito_fraco,muito_fraco,310,julho
junina,meio,normal,nao,sim,nao,normal,muito_fraco,320,julho
junina,final,desconhecido,sim,nao,nao,muito_bom,bom,896,julho
